judge,PCT_DENIED,PCT_DISMISSED,PCT_GRANTED,PCT_UNCLEAR,PCT_WITHDRAWN,PCT_DENIED_OR_DISMISSED,TOTAL_CASES,FIRST_CASE_DATE,LAST_CASE_DATE
Aarons,0.0,0.0,1.0,0.0,0.0,0.0,3.0,2017-03-30,2023-06-08
Abdus-Salaam,0.8895300906842539,0.09810387469084914,0.009068425391591096,0.0,0.0032976092333058533,0.9876339653751031,1213.0,2013-08-19,2017-04-06
Acosta,0.0,0.0,1.0,0.0,0.0,0.0,2.0,2017-08-22,2020-02-11
Andrias,0.0,0.0,1.0,0.0,0.0,0.0,3.0,2005-02-01,2007-04-04
Angiolillo,0.0,0.0,1.0,0.0,0.0,0.0,3.0,2013-06-19,2013-11-25
Austin,0.0,0.0,1.0,0.0,0.0,0.0,2.0,2016-01-08,2016-10-17
Balkin,0.0,0.0,1.0,0.0,0.0,0.0,2.0,2012-01-30,2016-02-09
Barros,0.0,0.0,1.0,0.0,0.0,0.0,2.0,2017-10-12,2019-06-11
Belen,0.0,0.0,1.0,0.0,0.0,0.0,2.0,2009-03-19,2012-06-20
Cannataro,0.918918918918919,0.06677265500794913,0.011128775834658187,0.0,0.003179650238473768,0.9856915739268681,629.0,2021-09-15,2024-04-30
Carni,0.0,0.0,1.0,0.0,0.0,0.0,5.0,2009-08-13,2018-08-17
Carpinello,0.0,0.0,1.0,0.0,0.0,0.0,1.0,2007-10-10,2007-10-10
Catterson,0.0,0.0,1.0,0.0,0.0,0.0,2.0,2006-06-23,2007-01-08
Centra,0.0,0.0,1.0,0.0,0.0,0.0,4.0,2009-02-06,2017-08-03
Chambers,0.0,0.0,1.0,0.0,0.0,0.0,3.0,2013-02-07,2021-05-07
Ciparick,0.8876139048261896,0.08234897063786703,0.0269996625042187,0.0,0.0030374620317246033,0.9699628754640567,2963.0,2004-02-04,2012-12-03
Clark,0.0,0.0,1.0,0.0,0.0,0.0,4.0,2018-10-23,2022-02-17
Cohen,0.0,0.0,1.0,0.0,0.0,0.0,1.0,2011-11-23,2011-11-23
Colangelo,0.0,0.0,1.0,0.0,0.0,0.0,3.0,2020-05-26,2022-06-07
Curran,0.0,0.0,1.0,0.0,0.0,0.0,1.0,2016-08-10,2016-08-10
DeJoseph,0.0,0.0,1.0,0.0,0.0,0.0,1.0,2015-06-10,2015-06-10
Devine,0.0,0.0,1.0,0.0,0.0,0.0,1.0,2015-09-22,2015-09-22
DiFiore,0.9107720758206195,0.07304669440591771,0.010171058714748035,0.0,0.006010171058714748,0.9838187702265372,2163.0,2016-03-23,2022-08-30
Dickerson,0.0,0.0,1.0,0.0,0.0,0.0,1.0,2015-03-27,2015-03-27
Dillon,0.0,0.0,1.0,0.0,0.0,0.0,8.0,2009-03-27,2017-08-28
Eng,0.0,0.0,1.0,0.0,0.0,0.0,1.0,2010-05-04,2010-05-04
Fahey,0.8911016949152543,0.07542372881355933,0.02754237288135593,0.0,0.005932203389830509,0.9665254237288136,2360.0,2008-09-15,2021-12-14
Faye,0.0,0.0,1.0,0.0,0.0,0.0,1.0,2011-09-06,2011-09-06
Feinman,0.9217625899280576,0.06654676258992806,0.008093525179856115,0.0,0.0035971223021582736,0.9883093525179857,1112.0,2017-10-05,2021-03-02
Fisher,0.0,0.0,1.0,0.0,0.0,0.0,2.0,2010-05-06,2010-10-14
Freedman,0.0,0.0,1.0,0.0,0.0,0.0,1.0,2009-03-11,2009-03-11
