,link,date,judge,decision
0,https://www.nycourts.gov/reporter/motions/2024/2024_97000.htm,2024-01-24,"Cannataro, J.",Disposition: Applications for Criminal Leave to appeal denied
1,https://www.nycourts.gov/reporter/motions/2024/2024_97001.htm,2024-01-29,"Rivera, J.",Disposition: Applications for Criminal Leave to appeal denied
2,https://www.nycourts.gov/reporter/motions/2024/2024_97002.htm,2024-01-31,"Garcia, J.",Disposition: Applications for Criminal Leave to appeal denied
3,https://www.nycourts.gov/reporter/motions/2024/2024_97003.htm,2024-01-31,"Troutman, J.",Disposition: Applications for Criminal Leave to appeal denied
4,https://www.nycourts.gov/reporter/motions/2024/2024_97004.htm,2024-01-24,"Wilson, Ch. J.",Disposition: Applications for Criminal Leave to appeal denied
5,https://www.nycourts.gov/reporter/motions/2024/2024_97005.htm,2024-01-24,"Cannataro, J.",Disposition: Applications for Criminal Leave to appeal denied
6,https://www.nycourts.gov/reporter/motions/2024/2024_97006.htm,2024-01-31,"Garcia, J.",Disposition: Applications for Criminal Leave to appeal denied
7,https://www.nycourts.gov/reporter/motions/2024/2024_97007.htm,2024-01-24,"Wilson, Ch. J.",Disposition: Applications for Criminal Leave to appeal denied
8,https://www.nycourts.gov/reporter/motions/2024/2024_97008.htm,2024-01-16,"Halligan, J.",Disposition: Applications for Criminal Leave to appeal denied
9,https://www.nycourts.gov/reporter/motions/2024/2024_97009.htm,2024-01-16,"Halligan, J.",Disposition: Applications for Criminal Leave to appeal denied
10,https://www.nycourts.gov/reporter/motions/2024/2024_97010.htm,2024-01-24,"Cannataro, J.",Disposition: Applications for Criminal Leave to appeal denied
11,https://www.nycourts.gov/reporter/motions/2024/2024_97011.htm,2024-01-24,"Wilson, Ch. J.",Disposition: Applications for Criminal Leave to appeal denied
12,https://www.nycourts.gov/reporter/motions/2024/2024_97012.htm,2024-01-24,"Cannataro, J.",Disposition: Applications for Criminal Leave to appeal denied
13,https://www.nycourts.gov/reporter/motions/2024/2024_97013.htm,2024-01-24,"Halligan, J.",Disposition: Applications for Criminal Leave to appeal denied
14,https://www.nycourts.gov/reporter/motions/2024/2024_97014.htm,2024-01-24,"Cannataro, J.",Disposition: Applications for Criminal Leave to appeal denied
15,https://www.nycourts.gov/reporter/motions/2024/2024_97015.htm,2024-01-26,"Halligan, J.",Disposition: Applications for Criminal Leave to appeal denied
